"","ID","centre","name","staffreduced","staffJDCOVID","staffJDRedeploy","staffGOCOVID","staffGORedeploy","staffConstCOVID","staffConstRedeploy","staffCNSCOVID","staffCNSRedeploy","staffJDred","staffGOred","staffCONred","staffCNSred","MDTchange","MDTvirual","MDTvirualF2F","MDTsuspend","MDTlessfreq","MDTlessattd","redperc","outpatientremote","theatrered","surgcasered","medoncred","clinoncred","radiored","pathred","pallcapred","gonvrred","mdtworkred","movepperlist","moveclinic","moveotheractivity","movenotyet","centralhub","minaccesssurg","newname"
"18",11593373277,"Unit","site-1","No",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Yes",FALSE,TRUE,FALSE,FALSE,FALSE,0,75,50,0,0,0,20,0,NA,10,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"30",11555988746,"Unit","site-2","No",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Yes",FALSE,TRUE,FALSE,FALSE,TRUE,20,80,50,20,0,0,NA,NA,0,10,20,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"55",11550243631,"Centre","site-3","Yes",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,60,0,20,30,"Yes",TRUE,FALSE,FALSE,FALSE,FALSE,0,90,40,50,NA,NA,NA,NA,NA,80,60,TRUE,FALSE,FALSE,NA,TRUE,TRUE,3
"13",11593709116,"Unit","site-4","No",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Yes",TRUE,FALSE,FALSE,FALSE,FALSE,0,2,20,70,0,10,0,0,0,70,50,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,4
"22",11563796810,"Centre","site-5","Yes",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,100,100,20,0,"Yes",FALSE,TRUE,FALSE,FALSE,TRUE,75,50,30,50,NA,NA,0,0,0,0,50,TRUE,TRUE,NA,NA,TRUE,FALSE,5
"9",11594652889,"Centre","site-6","No",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Yes",FALSE,TRUE,FALSE,FALSE,FALSE,NA,80,0,0,NA,NA,0,0,0,NA,0,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,6
"43",11551439131,"Centre","site-7","No",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Yes",FALSE,TRUE,FALSE,FALSE,FALSE,50,80,10,30,NA,NA,10,0,0,0,30,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,6
"74",11549776356,"Centre","site-8","No",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Yes",FALSE,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,6
"38",11552988491,"Unit","site-9","No",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Yes",FALSE,TRUE,FALSE,FALSE,FALSE,0,90,30,0,NA,0,0,0,NA,10,30,TRUE,FALSE,FALSE,NA,FALSE,FALSE,7
"36",11553340804,"Unit","site-10","Yes",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,0,33,50,"Yes",FALSE,TRUE,FALSE,FALSE,FALSE,0,5,50,NA,NA,NA,NA,NA,NA,50,50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8
