"","X","ID","centre","name","staffreduced","MDTchange","MDTvirual","MDTvirualF2F","MDTsuspend","MDTlessfreq","MDTlessattd","redperc","outpatientremote","theatrered","surgcasered","medoncred","clinoncred","radiored","pathred","pallcapred","gonvrred","mdtworkred","movepperlist","moveclinic","moveotheractivity","movenotyet","centralhub","minaccesssurg","newname"
"1",18,11593373277,"Unit","site-1","No","Yes",FALSE,TRUE,FALSE,FALSE,FALSE,0,75,50,0,0,0,20,0,NA,10,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"1"
"2",30,11555988746,"Unit","site-2","No","Yes",FALSE,TRUE,FALSE,FALSE,TRUE,20,80,50,20,0,0,NA,NA,0,10,20,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"2"
"4",13,11593709116,"Unit","site-4","No","Yes",TRUE,FALSE,FALSE,FALSE,FALSE,0,2,20,70,0,10,0,0,0,70,50,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"4"
"6",9,11594652889,"Centre","site-6","No","Yes",FALSE,TRUE,FALSE,FALSE,FALSE,NA,80,0,0,NA,NA,0,0,0,NA,0,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"6"
"7",43,11551439131,"Centre","site-7","No","Yes",FALSE,TRUE,FALSE,FALSE,FALSE,50,80,10,30,NA,NA,10,0,0,0,30,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,"6"
"8",74,11549776356,"Centre","site-8","No","Yes",FALSE,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,"6"
"9",38,11552988491,"Unit","site-9","No","Yes",FALSE,TRUE,FALSE,FALSE,FALSE,0,90,30,0,NA,0,0,0,NA,10,30,TRUE,FALSE,FALSE,NA,FALSE,FALSE,"7"
"13",11,11593813573,"Centre","site-13","No","Yes",TRUE,FALSE,FALSE,FALSE,FALSE,0,75,NA,NA,NA,0,0,NA,0,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"10"
"14",12,11593730064,"Centre","site-14","No","Yes",TRUE,TRUE,FALSE,FALSE,FALSE,0,95,0,0,40,20,40,0,0,NA,25,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"10"
"15",26,11560123630,"Centre","site-15","No","Yes",FALSE,TRUE,FALSE,FALSE,FALSE,50,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10"
