"","X","ID","centre","name","staffreduced","staffJDCOVID","staffJDRedeploy","staffGOCOVID","staffGORedeploy","staffConstCOVID","staffConstRedeploy","staffCNSCOVID","staffCNSRedeploy","staffJDred","staffGOred","staffCONred","staffCNSred","MDTchange","MDTvirual","MDTvirualF2F","MDTsuspend","MDTlessfreq","MDTlessattd","redperc","outpatientremote","theatrered","surgcasered","medoncred","clinoncred","radiored","pathred","pallcapred","gonvrred","mdtworkred","movepperlist","moveclinic","moveotheractivity","movenotyet","centralhub","minaccesssurg","newname"
"3",55,11550243631,"Centre","site-3","Yes",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,60,0,20,30,"Yes",TRUE,FALSE,FALSE,FALSE,FALSE,0,90,40,50,NA,NA,NA,NA,NA,80,60,TRUE,FALSE,FALSE,NA,TRUE,TRUE,"3"
"5",22,11563796810,"Centre","site-5","Yes",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,100,100,20,0,"Yes",FALSE,TRUE,FALSE,FALSE,TRUE,75,50,30,50,NA,NA,0,0,0,0,50,TRUE,TRUE,NA,NA,TRUE,FALSE,"5"
"10",36,11553340804,"Unit","site-10","Yes",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,0,33,50,"Yes",FALSE,TRUE,FALSE,FALSE,FALSE,0,5,50,NA,NA,NA,NA,NA,NA,50,50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"8"
"11",7,11595674087,"Centre","site-11","Yes",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,100,100,0,50,"Yes",TRUE,FALSE,FALSE,FALSE,FALSE,33,50,25,25,NA,NA,NA,NA,NA,50,25,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"9"
"12",23,11562513307,"Centre","site-12","Yes",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,100,100,33,75,"Yes",TRUE,FALSE,FALSE,FALSE,FALSE,NA,50,33,30,50,50,15,15,NA,70,25,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"9"
"20",68,11549870723,"Centre","site-20","Yes",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,25,NA,"Yes",FALSE,FALSE,FALSE,FALSE,TRUE,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13"
"25",66,11549909818,"Centre","site-25","Yes",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,15,NA,50,NA,"Yes",FALSE,TRUE,FALSE,FALSE,FALSE,30,90,40,50,0,0,0,0,0,75,30,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"17"
"28",10,11593888238,"Centre","site-28","Yes",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,100,NA,NA,"Yes",FALSE,TRUE,FALSE,FALSE,TRUE,30,75,60,20,NA,NA,NA,NA,NA,80,50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"19"
"29",63,11549933493,"Centre","site-29","Yes",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,25,100,17,NA,"Yes",FALSE,FALSE,FALSE,FALSE,TRUE,75,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19"
"31",39,11552004136,"Centre","site-31","Yes",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,100,100,0,0,"Yes",FALSE,TRUE,FALSE,FALSE,TRUE,60,30,75,90,NA,NA,NA,0,NA,30,20,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"20"
